Title,Genre
PREDESTINATION,Mystery / Thriller
THE INVISIBLE GUEST,Mystery / Thriller
FIGHT CLUB,Mystery / Thriller
SHUTTER ISLAND,Mystery / Thriller
MEMENTO,Mystery / Thriller
GET OUT,Mystery / Thriller
FRACTURED,Mystery / Thriller
SEARCHING,Mystery / Thriller
BURNING,Mystery / Thriller
KNIVES OUT,Mystery / Thriller
ENOLA HOLMES S1 - S2,Mystery / Thriller
A QUIET PLACE S1 - S2,Mystery / Thriller
GONE GIRL,Mystery / Thriller
PARASITE,Mystery / Thriller
WHO I AM,Mystery / Thriller
THE GIRL ON A BULDOZER,Mystery / Thriller
FORGOTTEN,Mystery / Thriller
LAMB,Mystery / Thriller
NOPE,Mystery / Thriller
MIRAGE,Mystery / Thriller
OLD BOY,Mystery / Thriller
THE SHAWSHANK REDEMPTION,Mystery / Thriller
BODIES BODIES BODIES,Mystery / Thriller
SE7EN,Mystery / Thriller
THE PRESTIGE,Mystery / Thriller
MEMORIES OF MURDER,Mystery / Thriller
MISSING,Mystery / Thriller
ZODIAC,Mystery / Thriller
THE TRUMAN SHOW,Mystery / Thriller
MOUSE : THE MOVIE,Mystery / Thriller
THE OTHERS,Mystery / Thriller
MEMOIR OF A MURDERER,Mystery / Thriller
MURDER ON THE ORIENT EXPRESS,Mystery / Thriller
LEAVE THE WORLD BEHIND,Mystery / Thriller
IDENTITY,Mystery / Thriller
UNLOCKED,Mystery / Thriller
THE DEPARTED,Mystery / Thriller
SEE HOW THEY RUN,Mystery / Thriller
THE GOOD NURSE,Mystery / Thriller
DECISION TO LEAVE,Mystery / Thriller
WHAT HAPPENED TO MONDAY,Mystery / Thriller
CONFESSION,Mystery / Thriller
THE WANDERING MOON,Mystery / Thriller
LUTHER THE FALLEN SUN,Mystery / Thriller
THE CINDERELLA ADDICTION,Mystery / Thriller
MONTAGE,Mystery / Thriller
TRIANGLE,Mystery / Thriller
PRISONERS,Mystery / Thriller
IN THE TALL GRASS,Mystery / Thriller
NO MERCY,Mystery / Thriller
THE SIXTH SENSE,Mystery / Thriller
CONFESSIONS,Mystery / Thriller
THE PLATFORM S1 - S2,Mystery / Thriller
MAHARAJA,Mystery / Thriller
CADDO LAKE,Mystery / Thriller
A PLACE CALLED SILENCE,Mystery / Thriller
EXTERRITORIAL,Mystery / Thriller
THE VOYEURS,Mystery / Thriller
SILENT PARADE,Mystery / Thriller
NOW YOU SEE ME S1 - S3,Action / Thriller
CROW ZERO S1 - S3,Action / Thriller
JOHN WICK S1 - S4,Action / Thriller
EDGE OF TOMORROW,Action / Thriller
FISTFUL OF VENGEANCE,Action / Thriller
V FOR VENDETTA,Action / Thriller
BATTLE ROYALE,Action / Thriller
THE SUICIDE SQUAD,Action / Thriller
SNOWDEN,Action / Thriller
YAKSHA: RUTHLESS OPERATIONS,Action / Thriller
MORBIUS,Action / Thriller
IP MAN S1 - S4,Action / Thriller
4 KING,Action / Thriller
IP MAN : THE AWAKENING,Action / Thriller
FAST X,Action / Thriller
MIDNIGHT,Action / Thriller
REMEMBER,Action / Thriller
JUMPER,Action / Thriller
UPGRADE,Action / Thriller
CATCH ME IF YOU CAN,Action / Thriller
ARMY OF THIEVES,Action / Thriller
MENCURI RADEN SALEH,Action / Thriller
BADLAND HUNTERS,Action / Thriller
LIFT,Action / Thriller
THE OUTLAWS,Action / Thriller
CONCRETE UTOPIA,Action / Thriller
NOBODY,Action / Thriller
THE ROUNDUP: PUNISHMENT,Action / Thriller
FOLLOWING,Action / Thriller
PROJECT SILENCE,Action / Thriller
EXTREME JOB,Action / Thriller
THE SHADOW STRAYS,Action / Thriller
COLD EYES,Action / Thriller
PENGEPUNGAN DI BUKIT DURI,Action / Thriller
DEMON CITY,Action / Thriller
FABRICATED CITY,Action / Thriller
THE SHADOW’S EDGE,Action / Thriller
RE:BORN,Action / Thriller
TIMUR,Action / Thriller
GHOST IN THE CELL,Action / Thriller
APEX,Action / Thriller
THE RED LINE,Action / Thriller
UANG PANAI’,Comedy
FREE GUY,Comedy
THE DICTATOR,Comedy
SEOUL VIBE,Comedy
THE BIG FOUR,Comedy
THE MURDERER,Comedy
ALKHALLAT+,Comedy
SI JUKI THE MOVIE: HARTA PULAU MONYET,Comedy
KELUAR MAIN 1994,Comedy
UANG PANAI’ 2,Comedy
GJLS : IBUKU IBU-IBU,Comedy
THE MEDIUM,Horror / Thriller
KKN DI DESA PENARI,Horror / Thriller
MIDSOMMAR,Horror / Thriller
FALL,Horror / Thriller
THE MENU,Horror / Thriller
US,Horror / Thriller
THE RITUAL,Horror / Thriller
THE INNOCENT,Horror / Thriller
THE CALL,Horror / Thriller
MARUI VIDEO,Horror / Thriller
THE WAILING,Horror / Thriller
EXHUMA,Horror / Thriller
WHAT YOU WISH FOR,Horror / Thriller
QODRAT 2,Horror / Thriller
INCANTATION,Horror / Thriller
HOLY NIGHT: DEMON HUNTERS,Horror / Thriller
PAMALI : TUMBAL,Horror / Thriller
WEAPONS,Horror / Thriller
SPREE,Horror / Thriller
2037,Drama
ONE WEEK FRIENDS,Drama
THE BLUE SKIES AT YOUR FEET,Drama
THE LAST 10 YEARS,Drama
CODA,Drama
A BEAUTIFUL MIND,Drama
MAN IN LOVE,Drama
THE LOST LOTTERIES,Drama
PERFECT STRANGER,Drama
NOT FRIENDS,Drama
THE SOCIAL NETWORK,Drama
THE IMITATION GAME,Drama
DRAWING CLOSER,Drama
"LOVE ME, LOVE ME NOT",Drama
YOU ARE THE APPLE OF MY EYE,Drama
500 DAYS OF SUMMER,Drama
KAKA BOSS,Drama
EVEN IF THIS LOVE DISAPPEARS FROM THE WORLD,Drama
YOUR EYES TELL,Drama
18x2 BEYOND YOUTHFUL DAYS,Drama
FORGET ME NOT,Drama
OMG! OH MY GIRL,Drama
BETTER DAYS,Drama
20TH CENTURY GIRL,Drama
MONSTER,Drama
366 DAYS,Drama
TOMORROW I WILL DATE WITH YESTERDAY’S YOU,Drama
LOVE LETTER,Drama
DEAD POETS SOCIETY,Drama
TUNGGU AKU SUKSES NANTI,Drama
TINGGAL MENINGGAL,Drama
INTERSTELLAR,Sci‑Fi
UANG PASSOLO,Drama
PARADISE,Sci‑Fi
TENET,Sci‑Fi
THE MOON,Sci‑Fi
TOMORROWLAND,Sci‑Fi
THE BUTTERFLY EFFECT,Sci‑Fi
LOOPER,Sci‑Fi
DONNIE DARKO,Sci‑Fi
HYPNOTIC,Sci‑Fi
INCEPTION,Sci‑Fi
SOURCE CODE,Sci‑Fi
MICKEY 17,Sci‑Fi
ARRIVAL,Sci‑Fi
TIMECRIMES,Sci‑Fi
THE GREAT FLOOD,Sci‑Fi
TIME TRAP,Sci‑Fi
COHERENCE,Mystery / Thriller
EXIT 8,Mystery / Thriller
THE FURIOUS,Action / Thriller
,Mystery / Thriller
THE LAST HOUSE,Sci‑Fi
