Title,Genre
DARK S1 - S3 ⭐,Mystery / Thriller
BEHIND HER EYES S1,Mystery / Thriller
ALICE IN BORDERLAND S1 - S3,Mystery / Thriller
MONSTROUS S1,Mystery / Thriller
FROM S1 - S3,Mystery / Thriller
INVISIBLE CITY S1,Mystery / Thriller
MIDNIGHT MASS S1,Mystery / Thriller
BIG MOUSE S1,Mystery / Thriller
1899 S1,Mystery / Thriller
GIRL FROM NOWHERE S1 - S2,Mystery / Thriller
WEDNESDAY S1,Mystery / Thriller
CLASS OF LIES S1,Mystery / Thriller
365 : REPEAT THE YEAR S1,Mystery / Thriller
NIGHT HAS COME S1,Mystery / Thriller
TELL ME WHAT YOU SAW S1,Mystery / Thriller
PARALLELS S1,Mystery / Thriller
STRANGER THINGS S1 - S5,Mystery / Thriller
MARE OF EASTTOWN S1,Mystery / Thriller
TREASON S1,Mystery / Thriller
BLIND S1,Mystery / Thriller
REVENGE OF OTHERS S1,Mystery / Thriller
BITCH X RICH S1 - S2,Mystery / Thriller
PYRAMID GAME S1,Mystery / Thriller
3 BODY PROBLEM S1,Mystery / Thriller
THE FROG S1,Mystery / Thriller
MASTER OF THE HOUSE S1,Mystery / Thriller
LIGHT SHOP S1,Mystery / Thriller
CROSS S1,Mystery / Thriller
KARMA S1,Mystery / Thriller
CONSTELLATION S1,Mystery / Thriller
DARK MATTER S1,Mystery / Thriller
THE PRICE OF CONFESSION S1,Mystery / Thriller
BODIES S1,Mystery / Thriller
SEBASTIAN FITZEK’S THERAPY S1,Mystery / Thriller
THE GIFTED S1,Mystery / Thriller
GIRL FROM NOWHERE : THE RESET S1,Mystery / Thriller
IF WISHES COULD KILL S1,Mystery / Thriller
MONEY HEIST S1 - S5,Action / Thriller
MAJISUKA GAKUEN S1 - S5,Action / Thriller
LUPIN S1 - S3,Action / Thriller
SQUID GAME S1 - S3,Action / Thriller
WEAK HERO S1,Action / Thriller
BERLIN S1,Action / Thriller
A SHOP FOR KILLERS S1,Action / Thriller
A KILLER PARADOX S1,Action / Thriller
HOUSE OF NINJAS S1,Action / Thriller
THE KING OF PIGS S1,Action / Thriller
THE PARASYTE : THE GREY S1,Action / Thriller
SUPACELL S1,Action / Thriller
STUDY GROUP S1,Action / Thriller
FAMILY MATTERS S1,Action / Thriller
LAST SAMURAI STANDING S1,Action / Thriller
THE QUEEN'S GAMBIT S1,Drama
MAN VS BEE S1,Comedy
THICCA S1,Drama
THE DAY OF THE JACKAL S1,Action / Thriller
MR. ROBOT S1-S4,Mystery / Thriller
AGENT KIM S1,Action / Thriller
DETECTIVE CHINATOWN S1,Mystery / Thriller
